obstacle_width,obstacle_height,dino_position_y,distanceFromNextObstacle,speed,label
308,320,192,261.4727519264675,24,Jump
284,320,170,253.21137415211032,24,Jump
260,320,152,246.2194143441983,24,Jump
236,320,137,240.46829312822095,24,Jump
212,320,125,235.47611343828487,24,Jump
188,320,116,230.82460874005614,24,Jump
164,320,110,226.17692189964916,24,Jump
140,320,108,220.32702966272657,24,Jump
116,320,109,214.04905979704745,24,Jump
92,320,113,207.3475343475297,24,Jump
68,320,120,200.3596765818911,24,Jump
44,320,130,193.380454027805,24,Jump
20,320,144,185.94622878671134,24,Jump
-4,320,161,179.82491484774852,24,Jump
-28,320,181,176.02556632489498,24,Jump
-52,320,204,175.72706109191037,24,Jump
-76,320,230,180.0999722376436,24,Jump
1100,300,260,1020.7840124139876,24,Jump
1076,300,293,996.0245980898263,24,Jump
1052,300,310,972.0514389681238,24,Run
1028,300,310,948.05274114893,24,Run
1004,300,310,924.0541109696986,24,Run
980,300,310,900.0555538409837,24,Run
956,300,310,876.0570757661854,24,Run
932,300,310,852.0586834250327,24,Run
908,300,310,828.0603842715819,25,Run
883,300,310,803.0622640866648,25,Run
858,300,310,778.0642646979746,25,Run
833,300,310,753.0663981349852,25,Run
808,300,310,728.0686780792042,25,Run
783,300,310,703.07112015784,25,Run
758,300,310,678.0737423024136,25,Run
733,300,310,653.076565189718,25,Run
708,300,310,628.0796127880604,25,Run
683,300,310,603.0829130393266,25,Run
658,300,310,578.0864987179687,25,Run
633,300,310,553.0904085228743,25,Run
608,300,310,528.0946884792537,25,Run
583,300,310,503.09939375833085,25,Run
558,300,310,478.1045910676868,25,Run
533,300,310,453.1103618325231,25,Run
508,300,310,428.11680649093887,25,Run
483,300,310,403.1240503864784,25,Run
458,300,310,378.1322519965733,25,Run
433,300,310,353.1416146533852,25,Run
408,300,310,328.1524036175874,25,Run
383,300,310,303.1649715913763,25,Run
358,300,310,278.1797979724624,25,Run
333,300,276,254.13579047430528,25,Jump
308,300,245,234.53997527074142,25,Jump
283,300,217,219.31256233968907,25,Jump
258,300,192,208.20182516010757,25,Jump
233,300,170,200.7710138441304,25,Jump
208,300,152,195.67319693816015,25,Jump
183,300,137,192.81597444195333,25,Jump
158,300,125,191.59592897553955,25,Jump
133,300,116,191.48106956041372,25,Jump
108,300,110,192.0520762709948,25,Jump
83,300,108,192.02343606966312,25,Jump
58,300,109,192.26284092356485,25,Jump
33,300,113,192.81597444195333,25,Jump
8,300,120,193.86593305684215,25,Jump
-17,300,130,195.7268504830137,25,Jump
-42,300,144,198.04039991880444,25,Jump
-67,300,161,202.3116407921205,25,Jump
1100,325,181,1030.1145567362885,25,Jump
1075,325,204,1002.3302848861746,25,Jump
1050,325,230,974.6409595333042,25,Jump
1025,325,260,947.2328119316813,25,Jump
1000,325,293,920.5563535167198,25,Jump
975,325,310,895.1256894984078,25,Run
